step	accuracy
0	0.0
1	1.0
2	1.0
3	1.0
4	1.0
5	0.96875
6	0.9375
7	1.0
8	0.9375
9	1.0
10	0.875
11	0.84375
12	0.9375
13	0.96875
14	0.84375
15	0.6875
16	0.90625
17	0.84375
18	0.6875
19	0.71875
20	0.75
21	0.65625
22	0.5625
23	0.75
24	0.875
25	0.625
26	0.625
27	0.71875
28	0.71875
29	0.875
30	0.84375
31	0.78125
32	0.59375
33	0.875
34	0.84375
35	0.8125
36	0.875
37	0.59375
38	0.84375
39	0.8125
40	0.8125
41	0.8125
42	0.875
43	0.875
44	0.65625
45	0.78125
46	0.625
47	0.8125
48	0.5625
49	0.53125
50	0.5625
51	0.71875
52	0.71875
53	0.84375
54	0.75
55	0.6875
56	0.84375
57	0.875
58	0.78125
59	0.8125
60	0.78125
61	0.78125
62	0.9375
63	0.71875
64	0.84375
65	0.8125
66	0.75
67	0.78125
68	0.75
69	0.78125
70	0.625
71	0.9333333969116211
72	0.96875
73	1.0
74	1.0
75	1.0
76	1.0
77	1.0
78	1.0
79	0.96875
80	0.9375
81	0.96875
82	0.9375
83	0.84375
84	0.90625
85	0.90625
86	1.0
87	0.84375
88	0.78125
89	0.875
90	0.625
91	0.75
92	0.8125
93	0.84375
94	0.4375
95	0.625
96	0.5625
97	0.6875
98	0.8125
99	0.625
100	0.78125
101	0.6875
102	0.75
103	0.75
104	0.65625
105	0.75
106	0.59375
107	0.8125
108	0.71875
109	0.8125
110	0.71875
111	0.84375
112	0.6875
113	0.78125
114	0.625
115	0.75
116	0.75
117	0.75
118	0.65625
119	0.59375
120	0.71875
121	0.8125
122	0.78125
123	0.90625
124	0.90625
125	0.5625
126	0.65625
127	0.78125
128	0.84375
129	0.84375
130	0.78125
131	0.78125
132	0.6875
133	0.78125
134	0.90625
135	0.71875
136	0.875
137	0.6875
138	0.875
139	0.875
140	0.90625
141	0.78125
142	0.75
143	0.8666667342185974
144	0.96875
145	0.96875
146	0.96875
147	1.0
148	1.0
149	1.0
150	0.90625
151	0.96875
152	0.90625
153	1.0
154	0.96875
155	0.96875
156	0.78125
157	0.90625
158	0.9375
159	0.8125
160	0.71875
161	0.84375
162	0.84375
163	0.84375
164	0.9375
165	0.84375
166	0.875
167	0.46875
168	0.71875
169	0.8125
170	0.5625
171	0.59375
172	0.6875
173	0.65625
174	0.84375
175	0.90625
176	0.8125
177	0.6875
178	0.78125
179	0.8125
180	0.84375
181	0.5625
182	0.75
183	0.59375
184	0.8125
185	0.8125
186	0.65625
187	0.90625
188	0.84375
189	0.84375
190	0.8125
191	0.90625
192	0.71875
193	0.625
194	0.65625
195	0.75
196	0.71875
197	0.75
198	0.84375
199	0.78125
200	0.90625
201	0.75
202	0.625
203	0.9375
204	0.9375
205	0.8125
206	0.71875
207	0.84375
208	0.75
209	0.84375
210	0.9375
211	0.75
212	0.78125
213	0.8125
214	0.78125
215	0.8666667342185974
216	0.9375
217	1.0
218	1.0
219	1.0
220	1.0
221	1.0
222	1.0
223	0.96875
224	0.9375
225	0.90625
226	0.875
227	0.8125
228	0.78125
229	0.75
230	0.6875
231	0.96875
232	0.84375
233	0.75
234	0.75
235	0.8125
236	0.71875
237	0.78125
238	0.71875
239	0.71875
240	0.78125
241	0.75
242	0.78125
243	0.75
244	0.8125
245	0.78125
246	0.75
247	0.8125
248	0.625
249	0.8125
250	0.8125
251	0.78125
252	0.90625
253	0.84375
254	0.90625
255	0.90625
256	0.78125
257	0.84375
258	0.71875
259	0.84375
260	0.8125
261	0.8125
262	0.625
263	0.8125
264	0.84375
265	0.78125
266	0.9375
267	0.8125
268	0.8125
269	0.8125
270	0.90625
271	0.96875
272	0.75
273	0.6875
274	0.875
275	0.84375
276	0.84375
277	0.78125
278	0.8125
279	0.84375
280	0.78125
281	0.78125
282	0.875
283	0.84375
284	0.78125
285	0.71875
286	0.78125
287	0.8666667342185974
288	0.875
289	0.90625
290	1.0
291	1.0
292	0.96875
293	1.0
294	0.96875
295	1.0
296	0.84375
297	0.90625
298	0.9375
299	0.78125
300	0.90625
301	0.78125
302	0.96875
303	0.9375
304	0.96875
305	0.8125
306	0.6875
307	0.84375
308	0.75
309	0.875
310	0.78125
311	0.78125
312	0.59375
313	0.84375
314	0.78125
315	0.8125
316	0.75
317	0.75
318	0.71875
319	0.71875
320	0.90625
321	0.875
322	0.78125
323	0.75
324	0.96875
325	0.8125
326	0.78125
327	0.84375
328	0.71875
329	0.6875
330	0.71875
331	1.0
332	0.78125
333	0.875
334	0.84375
335	0.84375
336	0.875
337	0.90625
338	0.65625
339	0.9375
340	0.71875
341	0.9375
342	0.875
343	0.71875
344	0.90625
345	0.84375
346	0.875
347	0.875
348	0.9375
349	0.8125
350	0.75
351	0.875
352	0.8125
353	0.875
354	0.78125
355	0.875
356	0.78125
357	0.78125
358	0.90625
359	0.8000000715255737
360	0.71875
361	0.9375
362	1.0
363	1.0
364	0.96875
365	0.9375
366	1.0
367	0.9375
368	0.96875
369	0.9375
370	0.875
371	0.84375
372	0.8125
373	0.84375
374	0.8125
375	0.71875
376	0.90625
377	0.875
378	0.875
379	0.71875
380	0.75
381	0.78125
382	0.6875
383	0.8125
384	0.6875
385	0.625
386	0.5625
387	0.8125
388	0.875
389	0.90625
390	0.84375
391	0.8125
392	0.78125
393	0.75
394	0.8125
395	0.875
396	0.8125
397	0.9375
398	0.84375
399	0.84375
400	0.78125
401	0.90625
402	0.90625
403	0.9375
404	0.84375
405	0.75
406	0.75
407	0.90625
408	0.875
409	0.8125
410	0.90625
411	0.84375
412	0.90625
413	0.875
414	0.84375
415	0.96875
416	0.875
417	0.875
418	0.8125
419	0.84375
420	0.9375
421	0.90625
422	0.71875
423	0.875
424	0.78125
425	0.90625
426	0.84375
427	0.875
428	0.90625
429	0.8125
430	0.90625
431	0.7333333492279053
432	0.875
433	0.90625
434	0.96875
435	0.96875
436	1.0
437	0.96875
438	0.9375
439	0.96875
440	0.875
441	1.0
442	0.90625
443	0.84375
444	0.78125
445	0.8125
446	0.875
447	0.96875
448	0.78125
449	0.875
450	0.71875
451	0.8125
452	0.875
453	0.75
454	0.84375
455	0.78125
456	0.8125
457	0.71875
458	0.71875
459	0.8125
460	0.875
461	0.59375
462	0.78125
463	0.9375
464	0.84375
465	0.90625
466	0.84375
467	0.78125
468	0.78125
469	0.96875
470	0.875
471	0.9375
472	0.875
473	0.9375
474	0.75
475	0.8125
476	0.84375
477	0.9375
478	0.78125
479	0.875
480	0.9375
481	0.90625
482	0.8125
483	0.8125
484	0.90625
485	1.0
486	0.78125
487	0.96875
488	0.96875
489	0.78125
490	0.75
491	0.8125
492	0.90625
493	0.84375
494	0.8125
495	0.78125
496	0.9375
497	0.71875
498	0.8125
499	0.90625
500	0.90625
501	0.78125
502	0.8125
503	0.8666667342185974
504	0.84375
505	0.96875
506	0.9375
507	1.0
508	0.96875
509	0.9375
510	0.9375
511	0.96875
512	0.96875
513	1.0
514	0.90625
515	0.84375
516	1.0
517	0.84375
518	0.90625
519	0.84375
520	0.84375
521	0.71875
522	0.65625
523	0.875
524	0.75
525	0.8125
526	0.84375
527	0.75
528	0.8125
529	0.75
530	0.78125
531	0.90625
532	0.8125
533	0.90625
534	0.75
535	0.71875
536	0.96875
537	0.78125
538	0.8125
539	0.8125
540	0.90625
541	0.9375
542	0.75
543	0.9375
544	0.84375
545	0.875
546	0.78125
547	0.8125
548	0.8125
549	0.875
550	0.875
551	0.84375
552	0.9375
553	0.71875
554	0.75
555	0.78125
556	0.8125
557	0.9375
558	0.90625
559	0.90625
560	0.8125
561	0.9375
562	0.75
563	0.75
564	0.90625
